î≠åæî‘çÜ,speaker,content,,,,,,,,,,,,,,,
1,F1,so we need lambda and its give us the *** so with the wavelength we can find velocity.  And with...  ,,,,,,,,,,,,,,,
2,F4,And we don't have to works with the-work-function right away. ,,,,,,,,,,,,,,,
3,F1,not right away but we do need the-work-function at the end.,,,,,,,,,,,,,,,
4,F4,Ok to find the... ,,,,,,,,,,,,,,,
5,F1, Because the important thing that for the lambda we are find the wavelength of the electron not of light.     ,,,,,,,,,,,,,,,
6,F4,"Right, exactly.  So, first for the electron we use planck / mass  velocity because we know the mass of an  electron",,,,,,,,,,,,,,,
7,F1,We need to find the mass of an electron,,,,,,,,,,,,,,,
8,F4," no, we know the mass of an electron. It's an electron.",,,,,,,,,,,,,,,
9,F1,"very true, very true.",,,,,,,,,,,,,,,
10,F4,but we don't know... ,,,,,,,,,,,,,,,
11,F1,with this wavelength we would be find velocity,,,,,,,,,,,,,,,
12,F2,"what did they give us.  For the following wavelength. So, well lambda equal planck / mass velocity right? ",,,,,,,,,,,,,,,
13,F1,Yes its tell us to use lambda equal planck / mass velocity,,,,,,,,,,,,,,,
14,F1,You can find energy-k. ,,,,,,,,,,,,,,,
15,F4,energy-k of a photon. ,,,,,,,,,,,,,,,
16,F1,use energy-k of the-work-function equal energy-k equal planck new minus the-work-function equal energy-k of a photon  and use energy-k of a photon to find the wavelength of light.  ,,,,,,,,,,,,,,,
17,F4,ok... We're doing A right?,,,,,,,,,,,,,,,
18,F4," so first, energy-k of a photon we are find first.  what are we find first? ",,,,,,,,,,,,,,,
19,F1,We need to find first the velocity unless you've find velocity already.,,,,,,,,,,,,,,,
20,F4,No I haven't find velocity already. ,,,,,,,,,,,,,,,
21,F1,"ok, so lambda equal planck / mass velocity, right?",,,,,,,,,,,,,,,
22,F2,no wait lambda equal planck / mass velocity is the lambda .  lambda equal planck / mass velocity is to find the eject electron.  I'm sure you probably use the energy-k first. ,,,,,,,,,,,,,,,
23,F4,You have to find planck speed . energy-p that's planck speed / lambda which we are give. 2.5x10^-7 meter so that is... ,,,,,,,,,,,,,,,
24,F2,"oh, they give us the-work-function because we have to  find if energy-k is greater than zero so that we can say that 1 electron is equal to 1 photon.  Do you remember like before. ",,,,,,,,,,,,,,,
25,F1,no photon is eject electron.  We do need the-work-function to find energy-k.  ,,,,,,,,,,,,,,,
26,F2, oh.  Ok.,,,,,,,,,,,,,,,
27,F1,so did you get 7.95x10^-19?   ,,,,,,,,,,,,,,,
28,F4,7.92x10^-19,,,,,,,,,,,,,,,
29,F1,close enough. Right.  So now we do energy-k equal energy-p minus the-work-function ,,,,,,,,,,,,,,,
30,F4,energy-p minus the-work-function yep.  So 7.92x10^-19 minus 6.6x10^-19 joules.  And those are all joules.  ,,,,,,,,,,,,,,,
31,F2,what did you get for energy-p? ,,,,,,,,,,,,,,,
32,F4, did you get 7.92x10^-19 or 7.95x10^-19? ,,,,,,,,,,,,,,,
33,F2, I didn't do 7.92x10^-19 7.95x10^-19.  I will though. I just like to got-down everything .   ,,,,,,,,,,,,,,,
34,F4,ok 1.32x10^-19 joules.  So now  use energy-k you can find.   energy-k equal 1/2 mass velocity ^2 Åc You can find velocity and then find lambda. ,,,,,,,,,,,,,,,
